TRUD Document,Requirement Ref,Area,Title,Description,Applicability,Type,Compliance Status,Guidance on Appropriate Test Evidence and Comments,Additional Notes,Link,Description from previous set of Architecture Specifications ,System Type,Bundle,Transport,Category
ITK Distribution Envelope Requirements,COR-DEH-10,Distribution Envelope Header–General Requirements,Toolkit Implementations MUST ensure that the Handling Specification section contains an InteractionId,"NB
InteractionIds are used in the ITK Domain Message Specifications (DMS’s) to document/define the expected behaviours, such as is an Infrastructure Ack required.",Always applies to systems creating distribution envelope.,Must,SELECT ONE,"EVIDENCE: Execute all tests marked as ""applicable""  after filters have been applied on the Testcases Index  tab. 
----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: 
","This requirement applies to: 
All Client Applications
Middleware creating an infrastructure acknowledgement i.e. a NACK produced as the result of a routing failure. 
Host Applications that support routable services i.e. Correspondence, Telehealth and HSCI as they create acknowledgements
SMSP Host
",,new at ITK 2.2,MW&ACK; CLIENT; HOST& ACK; SMSP HOST; ,ALL,ALL,30
ITK Distribution Envelope Requirements,COR-DEP-01,Distribution Envelope Header–Payload Requirements,The Distribution Envelope Payloads “count” attribute MUST be populated with the number of Payload elements contained,,Always applies to systems creating distribution envelope.,Must,SELECT ONE,"EVIDENCE: Execute all tests marked as ""applicable""  after filters have been applied on the Testcases Index  tab. 
----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: 
","This requirement applies to: 
All Client Applications
Middleware creating an infrastructure acknowledgement i.e. a NACK produced as the result of a routing failure. 
Host Applications that support routable services i.e. Correspondence, Telehealth and HSCI as they send Acknowledgements and also Host Applications that support ADT Asynchronous bundles as they send Response Messages
SMSP Host

NOTE: All validation checks performed by the TKW test that the @count attribute equals the payloads. Therefore successful validation reports prove implementation. There is also a negative test case defined to ensure the integrity check functions as expected (DE_INVPCT).",,"This is provided for convenience in checking the number of payloads expected, and also as an integrity check.",MW&ACK; CLIENT; HOST& ACK; SMSP HOST; ,ALL,ALL,30
ITK Distribution Envelope Requirements,COR-DEP-02,Distribution Envelope Header–Payload Requirements,Each Payload MUST have an “id” attribute which is unique within the message,"1
While any form of payload id MAY be used, a uuid using upper-case hex prefix with “uuid_” is recommended, because the link between the manifest and payload ids is a case-sensitive string.",Always applies to systems creating distribution envelope.,Must,SELECT ONE,"EVIDENCE: Execute all tests marked as ""applicable""  after filters have been applied on the Testcases Index  tab. 
----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: 
","This requirement applies to: 
All Client Applications
Middleware creating an infrastructure acknowledgement i.e. a NACK produced as the result of a routing failure. 
Host Applications that support routable services i.e. Correspondence, Telehealth and HSCI as they send Acknowledgements and also Host Applications that support ADT Asynchronous bundles as they send Response Messages
SMSP Host

NOTE: The ID must not start with a number,  Prefixing the id with uuid_ is recommended.

NOTE: All validation checks performed by the TKW test that the Manifest Item ID is equal to the Payload ID. Therefore successful validation reports prove implementation. There is also a negative test case defined to ensure the integrity check functions as expected (DE_INVMPI).",,"This enables the payload to be identified, and thus linked to its corresponding manifest description.
","MW&ACK; CLIENT; HOST& ACK; HOST& PATTERN1; SMSP HOST;
",ALL,ALL,29
ITK Distribution Envelope Requirements,COR-DEP-04,,Toolkit Implementations MUST ensure that the Distribution Envelope Error Vocabulary is presented in an ITK Infrastructure Acknowledgement.,"NB
An Infrastructure Acknowledgement message is used to communicate a Distribution Envelope processing issue.",Always applies to systems creating distribution envelope. ITK 2.2 Only.,Must,SELECT ONE,"EVIDENCE: Execute all tests marked as ""applicable""  after filters have been applied on the Testcases Index  tab. 
----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: 
","This requirement applies to: 
All Client Applications
Middleware creating an infrastructure acknowledgement i.e. a NACK produced as the result of a routing failure. 
Host Applications that support routable services i.e. Correspondence, Telehealth and HSCI as they create acknowledgements.
SMSP Host

NOTE: The requirement can be marked as Compliant whether the filename is used or not.",,NEW FOR ITK 2.2,"MW&ACK; CLIENT; HOST& ACK; HOST& PATTERN1; SMSP HOST;
",ALL,ALL,29
"ITK Client, Host and ITK Middleware Requirements",COR-REL-02,Reliability,Toolkit Implementations MAY retry if a transport response is not received,"NB
The lack of a transport-level response within any expected timeout period is an indication that the transport-level transmission may have failed. In these circumstances the sending Toolkit Implementation may retry if the underlying transport meaningfully allows it.",Always applies to systems that send messages,May,SELECT ONE,"STATEMENT: A statement of compliance to simply confirm or otherwise that the requirement is met.

EVIDENCE: Execute ER_INVTIM from the Testcases Detailed tab.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: 
","This requirement applies to:
All Client Applications 
Host Applications that support routable services i.e. Correspondence, Telehealth and HSCI as they send Acknowledgements and also Host Applications that support ADT Asynchronous bundles as they send Response Messages
All Middleware

NOTE: If this requirement is not implemented (not mandatory as this is a MAY requirement), then set the Compliance Status to ""Not Applicable"" and confirm by statement in Column I",,The lack of a transport-level response within any expected timeout period is an indication that the transport-level transmission may have failed. In these circumstances the sending Toolkit Implementation MAY retry if the underlying transport meaningfully allows it.,"MW; CLIENT; HOST&ACK; HOST& PATTERN1;

",ALL,ALL,35
"ITK Client, Host and ITK Middleware Requirements",COR-REL-03,Reliability,Toolkit Implementations MUST retain responsibility for processing until a request completes,"NB
Specifically, any response returned from the initial part of the asynchronous invocation does NOT indicate a transfer of responsibility. It is only a transport acknowledgement, and it does NOT imply that the message has necessarily been persisted, nor does it indicate a transfer of responsibility, nor promise that subsequent application processing will be completed.",Applies to systems that send messages,Must,SELECT ONE,"STATEMENT: A statement of compliance  simply confirming that the requirement is met.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
All Client Applications 
Host Applications that support routable services i.e. Correspondence, Telehealth and HSCI as they send Acknowledgements and also Host Applications that support ADT Asynchronous bundles as they send Response Messages
All Middleware 

NOTE: For synchronous interactions, the system must maintain responsibility until the synchronous response is received.
For asynchronous interactions, the system must maintain responsibility until the asynchronous response is received. Note that the receipt of the HTTP 202 synchronous response does not indicate the response is complete.
  
NOTE: If the responses are not received, the system is responsible for taking appropriate action e.g. logging a failure, writing to console etc.",,"As discussed in COR-REL-01, it is only the receipt of a response, a fault, or completion of a request that confirms that all relevant processing is complete. The Toolkit Implementation MUST retain responsibility for processing until a request is complete.
Specifically, any response returned  from the initial part of the asynchronous invocation does NOT indicate a transfer of responsibility. It is only a transport acknowledgement, and it does NOT imply that the message has necessarily been persisted, nor does it indicate a transfer of responsibility, nor promise that subsequent application processing will be completed. 
","MW; CLIENT; HOST&ACK; HOST& PATTERN1;

",ALL,ALL,35
"ITK Client, Host and ITK Middleware Requirements",COR-REL-05,Reliability,"Toolkit Implementations MUST provide details of how services handle, and recover from, transport failures during execution","A service which does not complete before the invocation times out, may leave the requestor uncertain of the state of the request and its business data. Toolkit implementations must provide information as to how such cases are safely handled.",Always applies to systems that send messages,Must,SELECT ONE,"STATEMENT: A statement of compliance simply explaining how service requests that fail to complete before invocation timeout are safely handled. 

EVIDENCE: Execute ER_INVTIM from the Testcases Detailed tab.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: 
","This requirement applies to:
All Client Applications 
Host Applications that support routable services i.e. Correspondence, Telehealth and HSCI as they send Acknowledgements and also Host Applications that support ADT Asynchronous bundles as they send Response Messages
All Middleware 

NOTE: This may involve the commiting of all messages to a database, fault alerting, use of the NACK infrastructure responses for Middleware, error logging, etc. ",,"A service which does not complete before the invocation times out, may leave the requestor uncertain of the state of the request and its business data. Toolkit implementations MUST provide information as to how such cases are safely handled.","MW; CLIENT; HOST&ACK; HOST& PATTERN1;

",ALL,ALL,35
"ITK Client, Host and ITK Middleware Requirements",IFC-LOG-01,Supporting Infrastructure - Logging,"Toolkit Implementations MUST support configurable
diagnostic logging","1
Toolkit implementations MUST provide diagnostic logging of messages and events.
2
Toolkit implementations MUST provide a real time configurable control of logging, to allow the logging to be switch on during testing or troubleshooting.
3
Toolkit implementations SHOULD provide the equivalent of configurable logging levels including but not limited to: Errors only – logs only errors - recording at least the message ids, message type, and timestamp in each case. This might typically be used in a mature and high volume production environment. Informational – logs message id, message type, timestamp, and limited additional information about each message. This might typically be used for troubleshooting in a production environment Full diagnostic – logs message id, message type, timestamp, plus full details of each message. This might typically be used in test environment, or in carefully controlled circumstances for troubleshooting in a production environment.
4
Toolkit implementations MUST record the Tracking ID appearing in the Distribution Envelope, within the logs.",Always applies,Must,SELECT ONE,"STATEMENT: A statement of compliance confirming that the product supports configurable diagnostic logging. The statement should state which of the logging levels referred to in the requirement are supported and confirm that the Tracking ID is included in the log for all levels.

EVIDENCE:  Provide a sample log file showing Tracking ID for any of the tests executed.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: 
","This requirement applies to:
All Client Applications 
All Host Applications
All Middleware
SMSP Host

NOTE: The sample log file provided can be from any of the logging levels. It should show that the log contains the Tracking ID of the message that has been processed for the test that has been executed. Any test from the Testcases Detailed is acceptable.",,"This must allow logging to be switched on for testing or troubleshooting, but switched off to enhance performance in the production environment.
There SHOULD be at least the equivalent of the following configurable logging levels:
  • Errors only – logs only errors - recording at least the message ids, message type,  and timestamp in each case. This might typically be used in a mature and high volume production environment
  • Informational – logs message id, message type, timestamp, and limited additional information about each message. This might typically be used for troubleshooting in a production environment 
  • Full diagnostic – logs message id, message type, timestamp, plus full details of each message. This might typically be used in test environment, or in carefully controlled circumstances for troubleshooting in a production environment.
Messages with a Distribution Envelope (see [2]) will also provide a Tracking ID, and this MUST also be recorded in the logs for all logging levels
Note: An exception MAY be granted for “black box” medical devices which only expose a communication interface, and are genuinely not capable of providing such logging. Any such exception must however be requested and considered on a case-by-case basis.
",ALL,ALL,ALL,1
"ITK Client, Host and ITK Middleware Requirements",IFC-LOG-02,Supporting Infrastructure - Logging,Toolkit Implementations MUST ensure Patient Identifiable data is adequately protected in log files and administrative tools,,Always applies,Must,SELECT ONE,"STATEMENT: A statement of compliance describing how Patient Identifiable data is protected at all times.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
All Client Applications 
All Host Applications
All Middleware
SMSP Host

NOTE: For example statements, please see requirement description.",,"It is essential that log files and administrative tools do not become a vulnerability whereby patient identifiable data is exposed.
Possible implementation strategies might include:
  • Securing or encrypting log files
  • Encrypting sensitive message fields within the application processing
  • Disallowing logging / viewing of sensitive data fields in a production environment
This list is not intended to be prescriptive or exhaustive, however the requirement is that Patient Identifiable data must be adequately protected at all times.
",ALL,ALL,ALL,1
"ITK Client, Host and ITK Middleware Requirements",IFC-ALT-01,Supporting Infrastructure - Alerting,Toolkit Implementations SHOULD allow technical alerts to be configured,"1
Toolkit implementations SHOULD allow alerts to be generated based on but not limited to sizes, message throughput, Error Store and throttling backlog.",Always applies,Should,SELECT ONE,"STATEMENT: A statement of compliance describing how this requirement is satisfied. 
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
All Client Applications 
All Host Applications
All Middleware
SMSP Host

NOTE: For example statements, please see requirement description.",,"It should be possible to configure alerts to proactively inform human administrators of error conditions. 
Examples include thresholds based on queue sizes, message throughput, or throttling backlog. Monitoring of the Error Store is particularly important.
",ALL,ALL,ALL,1
"ITK Client, Host and ITK Middleware Requirements",IFC-ALT-02,Supporting Infrastructure - Alerting,Toolkit Implementations SHOULD support SNMP alerting,"1
Toolkit implementations SHOULD provide a SNMP alerting mechanism to Service Monitoring systems.
2
Toolkit implementations SHOULD provide a SNMP interface for interrogation of counters and manipulation of configuration.",Always applies,Should,SELECT ONE,"STATEMENT: A statement of compliance describing how this requirement is satisfied. 
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
All Client Applications 
All Host Applications
All Middleware
SMSP Host

NOTE: If SNMP Alerting is not supported, please provide details of the alternative alerting solution in Column I and set the Compliance Status to Non Compliant.",,"SNMP alerting is a popular standard supported by most 3rd party Operations Consoles.
SNMP configuration and counters SHOULD also be supported
",ALL,ALL,ALL,1
"ITK Client, Host and ITK Middleware Requirements",IFC-TIM-01,Supporting Infrastructure - Time,The Toolkit Implementation system clock MUST be synchronised with a consistent time source to within 250 milliseconds,"1
Toolkit implementations MUST use a NTP service that is consistent to within 250 milliseconds across the estate.
2
Toolkit implementations SHOULD use a NTP service that is at least a Stratum 3 time source.
3
Toolkit implementations SHOULD use a NTP service that returns Greenwich Mean Time (GMT), an equivalent of Coordinated Universal Time (UTC).",Always applies,Must,SELECT ONE,"STATEMENT: A statement of compliance describing how this requirement is satisfied and confirming that the system clock is synchronised with a time source common to all systems connected to that Toolkit instance. 
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
All Client Applications 
All Host Applications
All Middleware
SMSP Host

NOTE: The statement can confirm that the time source is taken from the ser ver time source at the deployed sites e.g. the Trust time source.",,"This enables meaningful comparison and sorting of messages based on timestamps.
The system clock MUST be synchronised with a time source common to all systems connected to that Toolkit instance.
To maximise options for wider future connectivity, this time source SHOULD be a Stratum 3 time source (or better) that returns Greenwich Mean Time (GMT), an equivalent of Coordinated Universal Time (UTC).
",ALL,ALL,ALL,1
"ITK Client, Host and ITK Middleware Requirements",IFC-TIM-02,Supporting Infrastructure - Time,All timestamps generated by Toolkit Implementations MUST comply with issued guidance on time zones,"1
Toolkit implementations and their messages MUST comply with “NPFIT-FNT-TO-SCG-0005.14 – Clarification on Time Zone”",Applies to systems that create Timestamps in Messages,Must,SELECT ONE,"STATEMENT: A statement of compliance confirming  that the document referenced in the requirement has been read and understood and that the requirements within it will be complied with in all deployments.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
All Client Applications 
Host Applications that support routable services i.e. Correspondence, Telehealth and HSCI because they will create Acknowledgements that contain the Timestamp
All Middleware 
SMSP Host

NOTE: The document referred to in the requirement is available on TRUD but can also be accessed from the link provided here.

NOTE: This requirement is referring to the format of the timestamp within the SOAP Header that is created only.
",Timezone Document,"See “NPFIT-FNT-TO-SCG-0005.14 – Clarification on Time Zone” for details which MUST be complied with.
NB: References made by the guidance document to the “MIM”, except those in Section 5, also apply to Toolkit messages.
","MW; CLIENT; HOST&ACK; SMSP HOST;
",ALL,ALL,36
"ITK Client, Host and ITK Middleware Requirements",IFC-TIM-03,Supporting Infrastructure - Time,"All timestamps displayed by Toolkit Implementations
MUST comply with issued guidance on time zones",,Always applies,Must,SELECT ONE,"STATEMENT: A statement of compliance confirming  that the document referenced in the requirement has been read and understood and that the requirements within it will be complied with in all deployments.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
All Client Applications 
All Host Applications 
All Middleware 
SMSP Host

NOTE: This requirement applies to all applications where a timestamp is displayed i.e. not in the message. Examples of this could be display on an input  screen, output screen, on a report, on a letter etc. Exceptions to this may be technical documents where the timestamp is displayed e.g. log files

NOTE: The document referred to in the requirement is available on TRUD but can also be accessed from the link provided here.

NOTE: Refer to Section 4.2 of the document which states ""To avoid confusion and clinical errors the display of time must be clearly displayed in local time suitable for the consuming user’s perspective, which may include accounting for BST as well as translating UTC to local time.""


NOTE: If the system does not display any timestamps, then set the Compliance Status to Not Applicable and provide a statement in Column I confirming this.",Timezone Document,"See “NPFIT-FNT-TO-SCG-0005.14 – Clarification on Time Zone” for details which MUST be complied with.
In summary the document says that timestamps must be displayed in local time. However please see the referenced document for full details.",ALL,ALL,ALL,1
"ITK Client, Host and ITK Middleware Requirements",IFC-NFR-01,Supporting Infrastructure - Non-functional,Toolkit Implementations MUST support a configurable maximum message size,"1
Toolkit implementations MUST, in order to support interoperability across the ITK estate, support and honour the required maximum message size that is provided for each type of message type
2
Toolkit implementations MUST honour a configurable maximum message size. This size applies to the entirety of the message – i.e. including and distribution envelope and other transport wrappers, and after any compression and base64 encoding is applied.
3
Toolkit implementations MUST accept incoming messages that are smaller than or equal to the configurable maximum message size.
4
Toolkit implementations MAY reject incoming messages if they are larger than this required maximum size.
ITK Client, Host and ITK Middleware Requirements V1.0 30/04/2014
Page 18 of 36 Copyright © 2014 Health and Social Care Information Centre
5
Toolkit implementations SHOULD NOT generate messages that are larger than this required maximum size.
6
Toolkit implementations MUST take responsibility for ensuring that any endpoint sent a larger message than the required maximum is able to handle it (e.g. by local agreement).",Always applies,Must,SELECT ONE,"STATEMENT: A statement of compliance detailing how the requirement is met.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
All Client Applications 
All Host Applications 
All Middleware 
SMSP Host

NOTE: Statement for Client Applications and Host Applications implementing Pattern 1 interactions (including SMSP Host):-
provide confirmation that when you create a message it cannot be greater than a configurable maximum defined size 



",,"Toolkit implementations MUST honour a configurable maximum message size. This size applies to the entirety of the message – ie including and distribution envelope and other transport wrappers, and after any compression and base64 encoding is applied.
In order to support interoperability across the ITK estate, a required maximum message size is provided for each type of message (see Toolkit Service Listing spreadsheet).
- Toolkit implementations MUST accept incoming messages that are smaller than or equal to this required maximum size
- Toolkit implementations MAY reject incoming messages if they are larger than this required maximum size
- Toolkit implementations SHOULD NOT generate messages that are larger than this required maximum size. However if they do then they MUST take responsibility for ensuring that any endpoint sent a larger message is able to handle it (eg by local agreement)

",ALL,ALL,ALL,1
"ITK Client, Host and ITK Middleware Requirements",IFC-SEC-01,Supporting Infrastructure -Infrastructure Security,Toolkit Implementations MUST comply with standard HSCIC guidance for audit,"NB
Toolkit implementations MUST provide audit and alert in compliance with the CFH IG document “IG Audit & Alerts Gold Standard” document ref: NPFIT-FNT-TO-IG-PRJMGT-0093.05",Always applies,Must,SELECT ONE,"STATEMENT : A  statement of compliance confirming  that the document referenced in the requirement has been read and understood and that the requirements within it will be complied with in all deployments.

EVIDENCE:  Provide a sample Audit log file for any of the tests executed.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
All Client Applications 
All Host Applications 
All Middleware 
SMSP Host

NOTE: The document referred to in the requirement is available on TRUD but can also be accessed from the link provided here.

NOTE: The sample log file provided for evidence can be from any test executed from the Testcases Detailed tab.",Audit and Alerts Document,The Toolkit implementation MUST provide audit  and alert in compliance with the CFH IG document “IG Audit & Alerts Gold Standard” document ref: NPFIT-FNT-TO-IG-PRJMGT-0093.05,ALL,ALL,ALL,1
"ITK Client, Host and ITK Middleware Requirements",IFC-SEC-02,Supporting Infrastructure -Infrastructure Security,Toolkit Implementations  MUST comply with standard HSCIC guidance for infrastructure and data security,"1
Based on the findings of a risk assessment the Toolkit Implementation MAY have to support disk encryption unless the risk assessment finds otherwise e.g. the Toolkit Implementation is not going to hold PID or is located in a secure data centre environment.
2
Encryption, if required SHOULD meet with the Information Security Teams Approved Cryptographic Algorithms
3
Other data security standards that MUST be adhered to are Disposal and Destruction of Sensitive Data
4
Other data security standards that MUST be adhered to are Secure Use of the N3 Network
NB
Information Governance standards for systems for NHS and partner organisations are made available at http://systems.hscic.gov.uk/infogov",Always applies,Must,SELECT ONE,"STATEMENT: A statement of compliance to confirm: 
(a) the documents have been read and understood, that the risk assessment has been performed, and that any of the subsequent requirements will be  complied with in all deployments. 
(b) The two data standards 'Disposal and Destruction of Sensitive Data' and 'Secure Use of the N3 Network' have been read and understoood, and will be complied with in all deployments.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: 
","This requirement applies to:
All Client Applications 
All Host Applications 
All Middleware 
SMSP Host

NOTE: The document referred to in the requirement is available on TRUD but can also be accessed from the link provided here.",Disposal and Destruction of Sensitive Data,"The Information Security Teams General Principles for Securing Information Systems provides introductory guidance on general principles for securing information systems. The document provides high level guidance on this topic and is suitable for use during the planning, development, testing and rollout of new information systems
http://nww.connectingforhealth.nhs.uk/infrasec/gpg/gensec.pdf
 
Based on the findings of a risk assessment the Toolkit Implementation MAY have to support disk encryption unless the risk assessment finds otherwise e.g. the Toolkit Implementation is not ever going to hold PID or is located in a secure data centre environment. Encryption, if required should meet with the Information Security Teams Approved Cryptographic Algorithms GPG http://nww.connectingforhealth.nhs.uk/infrasec/gpg/acs.pdf. 

Other data security standards that MUST be adhered to are
Disposal and Destruction of Sensitive Data http://nww.connectingforhealth.nhs.uk/infrasec/gpg/disposal.pdf
Secure Use of the N3 Network http://nww.connectingforhealth.nhs.uk/infrasec/gpg/securen3.pdf
",ALL,ALL,ALL,1
"ITK Client, Host and ITK Middleware Requirements",IFA-REL-02,Supporting Infrastructure -Application Specific,"Toolkit Applications receiving error notifications MUST provide layered error handling to cover End-User, Automated, and Administrative error processing",,Applies to Client and Host applications that send messages.,Must,SELECT ONE,"STATEMENT: A statement of compliance explaining how the three categories are implemented when receiving an error message in response to a sent message.

EVIDENCE:  Provide a screenshot showing an example to supplement the statement.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: 

","This requirement applies to:
All Client Applications 
All Host Applications  that support routable services i.e. Correspondence, Telehealth and HSCI as they send Acknowledgements 
SMSP Host

NOTE: Statement should  explain how the three categories are implemented when receiving an error message in response to a sent message. For example how is the end user informed, how is an adminstrator informed etc.


",,"If an application consumes Toolkit services then support MUST be provided for three categories of error notification usage, specifically:
  • End-User – Formulating, where relevant, a notification to a human end-user (such as a clinician)  allowing them to understand what has happened and take safe and appropriate follow up action
  • Automated processing – Automated handling (eg based on error codes) to allow the calling application to interpret the problem and initiate appropriate recovery or error handling actions
  • Administrative user - technical logging and alerts sufficient to allow operations staff to diagnose, fix, and prevent further occurrences of the problem
This must also include graceful handling for unrecognised errors
","CLIENT; HOST& ACK; SMSP HOST;
",ALL,ALL,19
"ITK Client, Host and ITK Middleware Requirements",IFA-SEC-01,Supporting Infrastructure -Application Specific,"Service Client Applications MUST take responsibility for end-user authentication, authorisation and audit","1
The ITK Trust Operating Model document set provides more information about the process for determining what controls are required in a given situation.
In relation to Auditing, Toolkit Implementations - MUST maintain a log of auditable events including connections and requests for information both when successful and otherwise.
Such audit logs SHOULD record origin and other requestor identity, operation, and details such as patient identifier where available.
NB
Note: The Trust Operating Model documentation set provides more information about this process for determining what controls are required in a given situation.",Applies to Client Applications,Must,SELECT ONE,"STATEMENT: Statement should confirm that  application is responsible for authentication, authorisation and audit of the end user.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
All Client Applications 

NOTE: This requirement relates to end users, if the application has contact with end users, you should describe the authentication and authorisation process i.e. is a Smart Card required, password protection, RBAC in place etc. If the application does not have contact with end users per se, you should describe how the input data is verified and known to be reliable e.g. the data comes directly from the PAS or other trusted source.",,"The Service Client application has the contact with the end-user, and must take responsibility for user authentication, authorisation and audit.

This is because the end-user’s identity is not necessarily visible to the Toolkit. Rather it may see only the identity of the trusted Service Client application. 

The ability of a Service Client application to utilise specific Toolkit services will thus depend on the strength of the application’s authentication and authorisation methods. The Trust Operating Model document set provides more information about this process for determining what controls are required in a given situation.
",CLIENT,ALL,ALL,8
"ITK Client, Host and ITK Middleware Requirements",IFA-SEC-02,Supporting Infrastructure -Application Specific,For messages where a Distribution Envelope Audit Identity is provided then Toolkit Applications MUST record this in their audit logs,,Applies to Client and Host Applications.,Must,SELECT ONE,"EVIDENCE: Evidenced with audit logs, evidence should be provided to show the audit entries (containing Audit ID) for one of the tests in the submission.

-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
All Client Applications 
All Host Applications 
SMSP Host

NOTE: Client Applications must log the Audit Identity of the sent message and also log the Audit Identity of any received Acknowledgement messages where applicable. 
Host Applications must log the Audit Identity of any received messages including Acknowledgement Messages where applicable.",,If an Audit Identity is provided in the Distribution Envelope then all Toolkit Applications MUST record the Audit Identity in their audit logs,CLIENT; HOST; SMSP HOST; ,ALL,ALL,23
"ITK Client, Host and ITK Middleware Requirements",MOD-ASQ-02,Additional Modules - Sequencing,"Client Applications SHOULD support insequence invocation of Toolkit services, where this is required","1
Service Client Application SHOULD be able to preserve a technical FIFO sequence of events when placing outbound calls to the Toolkit.
2
The implication of this FIFO processing is that the Service Client Application MUST await a successful SOAP response from one outbound call before placing the next one.
3
Where it is provided then the use of FIFO processing SHOULD be configurable on/off to allow further implementation flexibility.
Therefore this behaviour SHOULD only be provided by a Service Client Application for groups of Toolkit invocations where the sequencing is known to be significant.",Applies to Client Applications,Should,SELECT ONE,"STATEMENT:  Statement should explain the significance of the sequence of events. If the sequence is significant it should further explain how the product is configured to meet this requirement.
---------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
All Client Applications

NOTE: Scenario specific - if the application does NOT support this feature, then please give reasons based on the messages being implemented, why the sequence is not important. If this is the case then set the Compliance Status to Not Applicable.
Key point is that the application MUST NOT rely on some other part of the infrastructure to get messages into the right order for it.
",,"It may be that events occur within a Web Service Client Application in a sequence which that
application knows to be significant. For example, a stream of patient events including, for
example, admittance, ward transfers, discharge etc. In this case the Web Service Client
Application SHOULD be able to preserve a technical FIFO sequence of these events when
placing outbound calls to the Toolkit.
Note that this is a purely technical feature involving the in-sequence processing of Toolkit
invocations. It does NOT imply any knowledge of the message content, nor any business
logic with knowledge of the context. For example, this FIFO invocation processing would keep
all invocations of a given set of Toolkit services in order, regardless of the patient they refer
to.
This feature potentially simplifies downstream processing – avoiding the need for business resequencing
and error handling later by ensuring that invocations are never “jumbled up” in the
first place.
The implication of this FIFO processing is that the Web Service Client Application MUST
await a successful SOAP response from one outbound call before placing the next one.
Note that while FIFO processing is a useful behaviour, it has tradeoffs and is therefore not
always desirable. For example message sequencing is not always relevant, and where this is
the case then parallel processing can be used to increase throughput and scalability. Even if
sequencing is relevant, any approach based on FIFO processing must be carefully
considered on a use-case by use-case basis. It is important to be certain that FIFO
processing can scale to the required volumetrics for the use-case. Where this is not the case
then other approaches - such as business-sequencing in the end recipient application (as
described in MOD-ASQ-01) - must be used.
Therefore this behaviour SHOULD only be provided by a Web Service Client Application for
groups of Toolkit invocations where the sequencing is known to be significant. Where it is
provided then the use of FIFO processing SHOULD be configurable on/off to allow further
implementation flexibility.",CLIENT,ALL,ALL,8
